Horodateur,Quel est ton parcours académique ?,Combiens de livres as tu  lu les 6 derniers mois?,Comment exprimes tu  tes idées et tes émotions?,Combiens de pages as tu écrites?,As tu fait des tentatives de poésie?,Joues tu le scrable?,As tu  visité un monument historique?,Lis tu  des livres d'histoire?,Votre Réaction face à une nouvelle?,Combiens de journaux par semaine tu lis?,Dans le présent gouvernement: combien de ministres peux tu identifier?,Devant une décision:,Lors d'un discours:,Lors d'une discussion?,Est-ce tu veux te consacrer aux autres?,Est-ce tu as choisi les math comme option?,Est-ce que  tu joues à l'echec?,"Dans ton travail, tu préfères:","Dans ton travail, tu préfères, une activité artistique","Dans ton travail, tu aimes créer, inventer …","En cas de stress, je garde la tête froide",Je repère facilement les petits défauts,Tu es du genre à répondre aux besoins des autres,Votre moyenne des sciences naturelles en 3eme annee secondaire,Je me sens à l'aise en travaillant en équipe,Je trouve du plaisir à travailler les mathématiques,"Ce qu'il t'attire le plus, les sciences fondamentales (math, physiques…).","Ce qu'il t'attire le plus, transmettre tes connaissances aux autres.","Ce qu'il t'attire le plus, travailler avec tes mains.","Ce qu'il t'attire le plus, utiliser des outils ou des instruments.","Ce qu'il t'attire le plus, mettre en application tes connaissances théoriques.","Ce qu'il t'attire le plus, réaliser des projets.","Pour toi, le travail en équipe, est une obligation","Ce qu'il t'attire le plus, faire preuve d'endurance.",Tu est du type qui aime travailler la terre.,Tu est du type qui aime s'occuper des animaux.
2021/04/17 2:01:00 PM UTC+2,Lettres & langues,>4,Réaction verbale,>10,>2,Non,Non,Non,Mettre en question,3 à 7,>5,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Oui souvent,,Non,Un travail actif,Moyennement,Moyennement,Oui parfaitement,Oui parfaitement,Oui parfaitement,,Moyennement,Pas du tout,Pas du tout,Oui parfaitement,Pas du tout,Pas du tout,Pas du tout,Moyennement,Moyennement,Beaucoup,Pas du tout,Pas du tout
2021/04/17 2:54:14 PM UTC+2,Médias,<2,Réaction verbale,<5,Non,Non,Non,Non,Mettre en question,<3,<5,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu tiens à tes idées?,Oui souvent,Non mais moyenne en 3eme annee secondaire <10,Rarement,L'essentiel un travail peu fatiguant,Pas du tout,Pas du tout,Oui parfaitement,Moyennement,Oui parfaitement,<10,Oui parfaitement,Pas du tout,Pas du tout,Oui parfaitement,Moyennement,Moyennement,Oui parfaitement,Moyennement,Moyennement,Moyennement,Moyennement,Moyennement
2021/04/19 5:39:13 PM UTC+2,Sc. Humaines,2 à 4,Réaction verbale,5 à 10,1 à 2,Non,Non,>3,Mettre en question,<3,<5,Tu prends la décision tout seul indépendamment des autres,Tu n'aimes pas te dévoiler devant les autres,Tu participes et tu acceptes changer tes idées?,Oui souvent,Non mais moyenne en 3eme annee secondaire <10,Non,Un tarvail de bureau,Pas du tout,Moyennement,Oui parfaitement,Moyennement,Oui parfaitement,10 à 15,Oui parfaitement,Pas du tout,Pas du tout,Oui parfaitement,Pas du tout,Pas du tout,Moyennement,Moyennement,Moyennement,Pas du tout,Pas du tout,Moyennement
2021/06/04 2:12:06 PM UTC+2,Sc. Fondamentales,>4,Réaction verbale,>10,Non,Non,Non,Non,Mettre en question,<3,>5,Tu prends la décision tout seul indépendamment des autres,Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Oui souvent,Oui,Rarement,Un travail actif,Pas du tout,Beaucoup,Oui parfaitement,Oui parfaitement,Oui parfaitement,10 à 15,Moyennement,Oui parfaitement,Oui parfaitement,Moyennement,Pas du tout,Pas du tout,Oui parfaitement,Oui parfaitement,Moyennement,Pas du tout,Pas du tout,Moyennement
2021/05/24 4:29:51 PM UTC+2,Etudes techno,2 à 4,Réaction physique,5 à 10,Non,Non,Non,Non,Mettre en question,<3,<5,Tu prends la décision tout seul indépendamment des autres,Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Un peu,Non mais moyenne en 3eme annee secondaire >10,Rarement,Un travail actif,Pas du tout,Moyennement,Moyennement,Oui parfaitement,Oui parfaitement,10 à 15,Moyennement,Oui parfaitement,Oui parfaitement,Moyennement,Moyennement,Moyennement,Oui parfaitement,Oui parfaitement,Moyennement,Pas du tout,Pas du tout,Moyennement
2021/05/24 12:26:32 PM UTC+2,Agriculture & environnement,<2,Réaction physique,<5,Non,Non,Oui,Non,Négliger,<3,<5,Laisser les autres décider à ta place,Tu t'exprimes mais timidement,Tu ne participes pas et tu préfères garder tes idées à toi?,Un peu,Non mais moyenne en 3eme annee secondaire >10,Non,Un travail actif,Pas du tout,Pas du tout,Pas du tout,Moyennement,Moyennement,>15,Oui parfaitement,Pas du tout,Pas du tout,Moyennement,Oui parfaitement,Moyennement,Oui parfaitement,Moyennement,Moyennement,Moyennement,Beaucoup,Beaucoup
2021/04/19 9:04:16 AM UTC+2,Gestion et sc. Économiques,<2,Réaction verbale,5 à 10,Non,Non,Oui,Non,Admettre,<3,<5,Tu prends la décision tout seul indépendamment des autres,Tu t'exprimes mais timidement,Tu participes et tu acceptes changer tes idées?,Un peu,Non mais moyenne en 3eme annee secondaire <10,Rarement,Un travail actif,Moyennement,Moyennement,Moyennement,Moyennement,Oui parfaitement,<10,Oui parfaitement,Pas du tout,Pas du tout,Oui parfaitement,Moyennement,Oui parfaitement,Oui parfaitement,Oui parfaitement,Oui parfaitement,Pas du tout,Pas du tout,Pas du tout
2021/04/19 5:36:54 PM UTC+2,Sc. Humaines,>4,Ecrire,>10,Non,Parfois,Oui,>3,Mettre en question,<3,<5,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Un peu,Non mais moyenne en 3eme annee secondaire >10,Non,Un travail actif,Moyennement,Moyennement,Oui parfaitement,Oui parfaitement,Oui parfaitement,10 à 15,Oui parfaitement,Moyennement,Pas du tout,Moyennement,Pas du tout,Pas du tout,Oui parfaitement,Oui parfaitement,Oui parfaitement,Moyennement,Pas du tout,Beaucoup
2021/05/24 12:45:05 PM UTC+2,Sc. Humaines,2 à 4,Réaction verbale,5 à 10,1 à 2,Non,Non,Non,Mettre en question,3 à 7,>5,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu tiens à tes idées?,Un peu,,Non,Un tarvail de bureau,Pas du tout,Pas du tout,Oui parfaitement,Oui parfaitement,Moyennement,<10,Oui parfaitement,Pas du tout,Pas du tout,Oui parfaitement,Pas du tout,Pas du tout,Moyennement,Oui parfaitement,Oui parfaitement,Beaucoup,Pas du tout,Pas du tout
2021/04/17 3:10:18 PM UTC+2,Médias,2 à 4,Réaction physique,5 à 10,1 à 2,Non,Oui,>3,Mettre en question,3 à 7,Tous,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu tiens à tes idées?,Un peu,Non mais moyenne en 3eme annee secondaire <10,Rarement,L'essentiel un travail peu fatiguant,Moyennement,Pas du tout,Moyennement,Oui parfaitement,Oui parfaitement,<10,Oui parfaitement,Pas du tout,Pas du tout,Oui parfaitement,Moyennement,Moyennement,Oui parfaitement,Oui parfaitement,Moyennement,Moyennement,Beaucoup,Beaucoup
